Country,ATT,MID,DEF,Date
Belgium,76,78,77,"Sept. 1, 2009 "
Greece,76,78,76,"Sept. 1, 2009 "
Switzerland,75,77,75,"Sept. 1, 2009 "
Romania,79,68,76,"Sept. 1, 2009 "
Republic of Ireland,78,73,74,"Sept. 1, 2009 "
Norway,77,74,76,"Sept. 1, 2009 "
Denmark,75,76,75,"Sept. 1, 2009 "
Scotland,75,76,74,"Sept. 1, 2009 "
Australia,75,74,73,"Sept. 1, 2009 "
Paraguay,75,71,74,"Sept. 1, 2009 "
United States,72,76,73,"Sept. 1, 2009 "
Bulgaria,80,74,70,"Sept. 1, 2009 "
Austria,72,71,73,"Sept. 1, 2009 "
Finland,75,69,75,"Sept. 1, 2009 "
Hungary,73,73,69,"Sept. 1, 2009 "
Poland,72,73,66,"Sept. 1, 2009 "
South Africa,72,70,70,"Sept. 1, 2009 "
Ecuador,67,74,68,"Sept. 1, 2009 "
Northern Ireland,72,70,74,"Sept. 1, 2009 "
Slovenia,74,69,68,"Sept. 1, 2009 "
Korea Republic,70,70,67,"Sept. 1, 2009 "
China PR,67,66,64,"Sept. 1, 2009 "
New Zealand,67,59,64,"Sept. 1, 2009 "
Spain,87,85,83,"Sept. 1, 2008 "
Italy,86,84,82,"Sept. 1, 2008 "
Argentina,87,84,82,"Sept. 1, 2008 "
Brazil,85,83,82,"Sept. 1, 2008 "
England,84,84,84,"Sept. 1, 2008 "
France,85,83,83,"Sept. 1, 2008 "
Germany,84,83,83,"Sept. 1, 2008 "
Holland,86,81,80,"Sept. 1, 2008 "
Portugal,78,84,82,"Sept. 1, 2008 "
Russia,82,76,76,"Sept. 1, 2008 "
Croatia,79,79,78,"Sept. 1, 2008 "
Turkey,79,78,75,"Sept. 1, 2008 "
Mexico,77,77,79,"Sept. 1, 2008 "
Sweden,83,74,74,"Sept. 1, 2008 "
Denmark,79,76,73,"Sept. 1, 2008 "
Switzerland,77,78,74,"Sept. 1, 2008 "
Czech Republic,77,76,78,"Sept. 1, 2008 "
Greece,77,77,76,"Sept. 1, 2008 "
Romania,76,77,74,"Sept. 1, 2008 "
Scotland,74,76,73,"Sept. 1, 2008 "
Uruguay,68,76,76,"Sept. 1, 2008 "
Paraguay,81,73,75,"Sept. 1, 2008 "
Republic Of Ireland,79,76,75,"Sept. 1, 2008 "
Cameroon,76,76,71,"Sept. 1, 2008 "
Bulgaria,81,75,70,"Sept. 1, 2008 "
Norway,78,74,74,"Sept. 1, 2008 "
Ukraine,78,72,68,"Sept. 1, 2008 "
Australia,75,75,74,"Sept. 1, 2008 "
Poland,75,73,68,"Sept. 1, 2008 "
Belgium,74,74,74,"Sept. 1, 2008 "
United States,71,75,72,"Sept. 1, 2008 "
Austria,69,71,75,"Sept. 1, 2008 "
South Africa,70,72,68,"Sept. 1, 2008 "
Finland,73,68,71,"Sept. 1, 2008 "
Hungary,72,72,67,"Sept. 1, 2008 "
Slovenia,72,69,66,"Sept. 1, 2008 "
Rep. Of Korea,69,69,66,"Sept. 1, 2008 "
Ecuador,69,66,63,"Sept. 1, 2008 "
Northern Ireland,71,69,71,"Sept. 1, 2008 "
China PR,63,63,65,"Sept. 1, 2008 "
New Zealand,65,59,62,"Sept. 1, 2008 "
Spain,87,85,83,"Aug. 25, 2007 "
England,87,84,84,"Aug. 25, 2007 "
France,87,83,83,"Aug. 25, 2007 "
Brazil,83,84,80,"Aug. 25, 2007 "
Italy,82,83,84,"Aug. 25, 2007 "
Argentina,85,80,80,"Aug. 25, 2007 "
Germany,84,84,81,"Aug. 25, 2007 "
Portugal,76,83,77,"Aug. 25, 2007 "
Holland,82,78,71,"Aug. 25, 2007 "
Mexico,80,75,77,"Aug. 25, 2007 "
Czech Republic,77,79,80,"Aug. 25, 2007 "
Nigeria,82,70,78,"Aug. 25, 2007 "
Turkey,80,78,72,"Aug. 25, 2007 "
Denmark,80,76,75,"Aug. 25, 2007 "
Greece,78,72,76,"Aug. 25, 2007 "
Sweden,85,75,73,"Aug. 25, 2007 "
Russia,81,72,80,"Aug. 25, 2007 "
Croatia,80,73,73,"Aug. 25, 2007 "
Republic Of Ireland,81,75,77,"Aug. 25, 2007 "
Switzerland,80,76,75,"Aug. 25, 2007 "
Paraguay,79,75,74,"Aug. 25, 2007 "
Cameroon,79,74,71,"Aug. 25, 2007 "
Uruguay,78,70,76,"Aug. 25, 2007 "
Norway,76,76,75,"Aug. 25, 2007 "
Scotland,75,77,71,"Aug. 25, 2007 "
Ukraine,81,71,67,"Aug. 25, 2007 "
Poland,80,74,69,"Aug. 25, 2007 "
Australia,77,74,74,"Aug. 25, 2007 "
United States,77,71,73,"Aug. 25, 2007 "
Romania,74,66,77,"Aug. 25, 2007 "
Bulgaria,80,74,69,"Aug. 25, 2007 "
Belgium,74,74,74,"Aug. 25, 2007 "
Finland,74,73,73,"Aug. 25, 2007 "
Wales,76,72,71,"Aug. 25, 2007 "
South Africa,76,69,67,"Aug. 25, 2007 "
Austria,73,71,70,"Aug. 25, 2007 "
Slovenia,73,61,67,"Aug. 25, 2007 "
Northern Ireland,69,67,69,"Aug. 25, 2007 "
Rep. Of Korea,68,71,67,"Aug. 25, 2007 "
Ecuador,68,65,68,"Aug. 25, 2007 "
Hungary,65,68,68,"Aug. 25, 2007 "
China PR,61,64,67,"Aug. 25, 2007 "
New Zealand,68,62,60,"Aug. 25, 2007 "
France,90,83,85,"Aug. 28, 2006 "
England,89,85,85,"Aug. 28, 2006 "
Brazil,87,84,80,"Aug. 28, 2006 "
Italy,87,82,86,"Aug. 28, 2006 "
Spain,86,83,82,"Aug. 28, 2006 "
Germany,86,86,82,"Aug. 28, 2006 "
Argentina,87,80,79,"Aug. 28, 2006 "
Portugal,79,79,81,"Aug. 28, 2006 "
Turkey,79,77,72,"Aug. 28, 2006 "
Nigeria,82,71,76,"Aug. 28, 2006 "
Denmark,81,76,70,"Aug. 28, 2006 "
Russia,81,73,75,"Aug. 28, 2006 "
Mexico,78,73,79,"Aug. 28, 2006 "
Cameroon,82,70,73,"Aug. 28, 2006 "
Uruguay,79,73,75,"Aug. 28, 2006 "
Greece,78,76,78,"Aug. 28, 2006 "
Serbia,77,74,67,"Aug. 28, 2006 "
Croatia,75,72,81,"Aug. 28, 2006 "
Australia,80,77,73,"Aug. 28, 2006 "
Republic Of Ireland,80,76,75,"Aug. 28, 2006 "
Sweden,79,77,72,"Aug. 28, 2006 "
Switzerland,78,73,76,"Aug. 28, 2006 "
Rep. Of Korea,75,75,76,"Aug. 28, 2006 "
Ukraine,82,70,71,"Aug. 28, 2006 "
Paraguay,80,73,70,"Aug. 28, 2006 "
Norway,77,76,74,"Aug. 28, 2006 "
Belgium,74,76,78,"Aug. 28, 2006 "
United States,73,71,73,"Aug. 28, 2006 "
Bulgaria,83,74,70,"Aug. 28, 2006 "
Poland,77,71,70,"Aug. 28, 2006 "
Finland,75,70,76,"Aug. 28, 2006 "
Scotland,73,77,74,"Aug. 28, 2006 "
Romania,72,69,77,"Aug. 28, 2006 "
Austria,70,69,71,"Aug. 28, 2006 "
Wales,78,74,68,"Aug. 28, 2006 "
Slovenia,77,69,69,"Aug. 28, 2006 "
Ecuador,71,66,69,"Aug. 28, 2006 "
Tunisia,74,64,73,"Aug. 28, 2006 "
Northern Ireland,63,67,68,"Aug. 28, 2006 "
Hungary,70,68,65,"Aug. 28, 2006 "
China PR,70,66,65,"Aug. 28, 2006 "
Brazil,92,89,86,"Aug. 24, 2005 "
France,92,88,84,"Aug. 24, 2005 "
Italy,88,84,88,"Aug. 24, 2005 "
Spain,86,86,85,"Aug. 24, 2005 "
England,91,85,86,"Aug. 24, 2005 "
Portugal,86,86,83,"Aug. 24, 2005 "
Argentina,87,81,85,"Aug. 24, 2005 "
Germany,85,81,82,"Aug. 24, 2005 "
Czech Republic,85,75,79,"Aug. 24, 2005 "
Republic Of Ireland,80,81,77,"Aug. 24, 2005 "
Denmark,82,79,78,"Aug. 24, 2005 "
Norway,83,78,77,"Aug. 24, 2005 "
Croatia,80,74,81,"Aug. 24, 2005 "
Sweden,85,74,76,"Aug. 24, 2005 "
Switzerland,79,75,78,"Aug. 24, 2005 "
Greece,65,81,77,"Aug. 24, 2005 "
Uruguay,84,77,72,"Aug. 24, 2005 "
Australia,83,73,72,"Aug. 24, 2005 "
Nigeria,83,72,76,"Aug. 24, 2005 "
United States,74,77,74,"Aug. 24, 2005 "
Russia,80,70,75,"Aug. 24, 2005 "
Finland,77,69,75,"Aug. 24, 2005 "
Scotland,72,73,76,"Aug. 24, 2005 "
Bulgaria,80,78,68,"Aug. 24, 2005 "
Belgium,76,75,71,"Aug. 24, 2005 "
Turkey,75,76,70,"Aug. 24, 2005 "
Cameroon,93,70,72,"Aug. 24, 2005 "
Poland,74,69,71,"Aug. 24, 2005 "
Paraguay,79,68,69,"Aug. 24, 2005 "
Wales,78,77,64,"Aug. 24, 2005 "
Mexico,72,68,69,"Aug. 24, 2005 "
Austria,70,67,73,"Aug. 24, 2005 "
Slovenia,72,66,70,"Aug. 24, 2005 "
Romania,69,66,73,"Aug. 24, 2005 "
Northern Ireland,65,67,70,"Aug. 24, 2005 "
Tunisia,69,70,68,"Aug. 24, 2005 "
Costa Rica,67,69,65,"Aug. 24, 2005 "
China PR,70,66,62,"Aug. 24, 2005 "
Hungary,66,59,63,"Aug. 24, 2005 "
France,94,89,84,"Oct. 8, 2004 "
Brazil,92,88,87,"Oct. 8, 2004 "
Spain,90,88,86,"Oct. 8, 2004 "
England,89,88,88,"Oct. 8, 2004 "
Italy,92,83,86,"Oct. 8, 2004 "
Argentina,86,85,87,"Oct. 8, 2004 "
Germany,81,85,85,"Oct. 8, 2004 "
Portugal,85,83,83,"Oct. 8, 2004 "
Czech Republic,83,85,81,"Oct. 8, 2004 "
Denmark,85,80,77,"Oct. 8, 2004 "
Republic Of Ireland,79,80,78,"Oct. 8, 2004 "
United States,78,79,77,"Oct. 8, 2004 "
Greece,75,78,81,"Oct. 8, 2004 "
Turkey,81,81,73,"Oct. 8, 2004 "
Sweden,83,76,75,"Oct. 8, 2004 "
Switzerland,78,77,77,"Oct. 8, 2004 "
Scotland,73,76,78,"Oct. 8, 2004 "
Australia,85,74,72,"Oct. 8, 2004 "
Uruguay,82,75,75,"Oct. 8, 2004 "
Croatia,74,75,80,"Oct. 8, 2004 "
Wales,82,80,67,"Oct. 8, 2004 "
Norway,76,73,77,"Oct. 8, 2004 "
Cameroon,72,78,75,"Oct. 8, 2004 "
Bulgaria,81,74,69,"Oct. 8, 2004 "
Nigeria,77,71,74,"Oct. 8, 2004 "
Belgium,74,75,71,"Oct. 8, 2004 "
Finland,78,66,71,"Oct. 8, 2004 "
Poland,71,71,71,"Oct. 8, 2004 "
Russia,64,73,72,"Oct. 8, 2004 "
Romania,71,74,67,"Oct. 8, 2004 "
Paraguay,78,67,68,"Oct. 8, 2004 "
Mexico,70,71,68,"Oct. 8, 2004 "
Costa Rica,72,70,65,"Oct. 8, 2004 "
Slovenia,68,69,70,"Oct. 8, 2004 "
Austria,74,65,69,"Oct. 8, 2004 "
Northern Ireland,65,67,67,"Oct. 8, 2004 "
China PR,71,66,62,"Oct. 8, 2004 "
Tunisia,69,68,63,"Oct. 8, 2004 "
Hungary,65,58,63,"Oct. 8, 2004 "
